Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoalsAttempted,X3PointShotsAttempted,FreeThrowsAttempted,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,OppFieldGoalsAttempted,Opp3PointShotsAttempted,OppFreeThrowsAttempted,OppOffRebounds,OppTotalRebounds,OppAssists,OppSteals,OppBlocks,OppTurnovers,OppTotalFouls
BRK,24,2014-12-17,Away,TOR,L,89,105,81,27,22,14,43,20,3,8,13,16,80,20,19,11,42,24,6,4,9,21
BRK,25,2014-12-19,Away,CLE,L,91,95,78,24,12,4,37,23,8,8,16,26,77,24,29,11,44,22,7,4,16,16
BRK,26,2014-12-21,Home,DET,W,110,105,76,20,29,3,37,29,9,4,15,18,91,27,26,18,50,26,10,6,13,22
BRK,27,2014-12-23,Home,DEN,W,102,96,91,23,14,12,39,21,10,3,9,19,82,25,22,14,51,15,4,4,18,15
BRK,28,2014-12-26,Away,BOS,W,109,107,83,21,28,13,43,19,9,3,15,10,87,24,11,5,37,32,8,3,14,23
BRK,29,2014-12-27,Home,IND,L,85,110,77,25,27,5,35,15,2,4,15,20,86,18,18,7,45,33,11,5,10,25
BRK,30,2014-12-29,Home,SAC,W,107,99,80,21,39,14,40,20,12,3,9,18,76,20,20,11,44,22,5,3,21,26
BRK,31,2014-12-30,Away,CHI,W,96,82,83,14,21,10,46,21,9,5,10,17,86,25,15,13,48,22,5,11,12,18
BRK,32,2015-01-02,Away,ORL,W,100,98,72,20,18,4,45,26,7,5,22,16,88,22,20,8,37,22,13,3,11,18
BRK,33,2015-01-04,Away,MIA,L,84,88,86,24,13,10,38,18,9,6,11,23,67,14,28,8,42,21,8,9,14,20
BRK,34,2015-01-05,Home,DAL,L,88,96,84,25,23,7,52,20,5,7,14,21,94,27,19,14,51,24,8,6,10,17
BRK,35,2015-01-07,Home,BOS,L,81,89,74,14,26,11,50,18,3,6,17,18,88,18,17,11,41,22,8,2,6,26
BRK,36,2015-01-09,Home,PHI,L,88,90,73,16,27,9,42,21,8,3,17,19,79,17,17,11,38,22,15,4,14,22
BRK,37,2015-01-10,Away,DET,L,93,98,88,31,10,9,46,25,6,2,13,23,80,33,26,9,44,27,8,3,10,10
BRK,38,2015-01-12,Home,HOU,L,99,113,84,21,18,11,41,18,7,4,16,18,86,40,20,12,42,22,9,2,14,18
